process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
12.0,1.3333333333333333,8.333333333333334,15.055555555555555,1.0,2.6666666666666665,2.388888888888889,2.1666666666666665,1.45,interactive,420000075,SJF,0.09507492017948815,0.04001677186296691,0.08830414887227526,0.31301939058171746,0.7924382716049383
12.0,0.8571428571428571,7.166666666666667,10.63888888888889,1.0,3.0833333333333335,1.9097222222222223,2.0833333333333335,1.2906976744186047,interactive,420000076,Round Robin,0.1661746931142013,0.16268699654775604,0.12187621702381772,0.26098265895953754,0.828125
12.0,0.75,9.75,10.354166666666666,1.0,3,2,2.8333333333333335,1.4017094017094016,interactive,420000077,Round Robin,0.1084093555900621,0.09186238354037268,0.086328125,0.298218476637508,0.7872670807453417
12.0,0.9230769230769231,9.166666666666666,11.305555555555555,1.0,3,2,2.75,1.5,interactive,420000078,SJF,0.11805472814647129,0.10595074117801391,0.12069649491459335,0.26686024220427884,0.7984126984126985
12.0,1.3333333333333333,6.166666666666667,10.472222222222221,1.0,3.0833333333333335,2.576388888888889,1.75,1.4324324324324325,interactive,420000079,SJF,0.12638528082532996,0.09905260111809003,0.10160265666970579,0.2831920903954802,0.7939330543933054
12.0,1.7142857142857142,10.416666666666666,15.07638888888889,1.0,3.0833333333333335,1.7430555555555556,2.8333333333333335,1.344,interactive,420000080,Round Robin,0.08280933080492343,0.11066754578911028,0.06001500375093771,0.29523565717632616,0.7743055555555556
12.0,1.3333333333333333,8.833333333333334,13.63888888888889,1.0,3,1.3333333333333333,2.3333333333333335,1.1603773584905661,interactive,420000081,SJF,0.13130651852033137,0.11857096953017301,0.13633390031630693,0.29651102036226085,0.7922535211267605
12.0,1.2,8.25,6.1875,1.0,2.6666666666666665,1.7222222222222223,2.1666666666666665,1.3737373737373737,interactive,420000082,Round Robin,0.14682174869488132,0.13190071247988966,0.11126154902273941,0.3122629582806574,0.7885338345864661
12.0,0.8571428571428571,8.583333333333334,15.743055555555555,1.0,3.4166666666666665,1.9097222222222223,2.5833333333333335,1.6601941747572815,interactive,420000083,Round Robin,0.09547594589967472,0.1247430363621265,0.07224175987556898,0.3238157894736842,0.8585858585858586
12.0,1.0909090909090908,10.416666666666666,16.743055555555557,1.0,3,2.6666666666666665,2.75,1.488,interactive,420000084,Round Robin,0.1010179654146846,0.11975424747926369,0.08852397500074491,0.2770675505050505,0.7987804878048781
12.0,0.8571428571428571,10.416666666666666,15.07638888888889,1.0,2.5833333333333335,2.2430555555555554,3,1.352,interactive,420000085,SJF,0.10964268932322427,0.048640570010055305,0.08849293544433225,0.3095737552078781,0.7692307692307692
12.0,0.9230769230769231,8.333333333333334,8.38888888888889,1.0,3,1.5,2.4166666666666665,1.31,interactive,420000086,Round Robin,0.10204695687596049,0.17145813851146932,0.06035328753680079,0.25049067713444556,0.7936320754716981
12.0,1.3333333333333333,8,12,1.0,2.5833333333333335,1.4097222222222223,2.5,1.7708333333333333,interactive,420000087,Round Robin,0.17948395571463477,0.18589178166136064,0.10714910056581618,0.25,0.8038674033149171
12.0,0.9230769230769231,7.25,12.354166666666666,1.0,3.25,2.5208333333333335,2,1.2413793103448276,interactive,420000088,SJF,0.10490557513327912,0.08885560675883254,0.09806372549019605,0.2818627450980392,0.8260368663594471
12.0,0.75,10.583333333333334,15.07638888888889,1.0,2.8333333333333335,1.8055555555555556,2.75,1.188976377952756,interactive,420000089,SJF,0.11285185821597618,0.08419935597189693,0.10794619517424985,0.2656842904123451,0.7729508196721311
12.0,1.2,8.083333333333334,11.909722222222221,1.0,2.5833333333333335,2.4097222222222223,2.5,1.4742268041237114,interactive,420000090,Round Robin,0.1046400449943757,0.08874513487491549,0.07553677721088436,0.26015361952861954,0.8011811023622046
12.0,1.0,7.833333333333333,5.805555555555555,1.0,2.8333333333333335,1.9722222222222223,2,1.2872340425531914,interactive,420000091,Round Robin,0.11004700784505045,0.17091970003370408,0.04571984435797666,0.28123179007124194,0.7593023255813953
