profile,seed,oracle,selected,correct,regret,inference_ms,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr,max_wait_fcfs,max_wait_sjf,max_wait_round_robin,max_wait_priority,max_wait_priority_rr,switch_time_fcfs,switch_time_sjf,switch_time_round_robin,switch_time_priority,switch_time_priority_rr
mixed,20264000065,Round Robin,Round Robin,1,0.0,0.06291699992289068,0.31830940321335494,0.15469798657718123,0.11090541905082464,0.387545855895011,0.7640939597315437,246,242,229,266,492,0,0,0,0,250
mixed,20264000066,Round Robin,Round Robin,1,0.0,0.06091600016588927,0.32568583192393247,0.1726057906458797,0.13704945515507128,0.37843040541032397,0.7564031180400891,187,175,175,208,388,0,0,0,0,213
mixed,20264000067,SJF,Round Robin,0,0.018229143702031436,0.06533299983857432,0.35914241028241717,0.1296844181459566,0.14791356184798804,0.382586432739253,0.767258382642998,105,113,113,120,231,0,0,0,0,118
mixed,20264000068,Round Robin,Round Robin,1,0.0,0.059208000038779574,0.29437781837044946,0.14137510170870626,0.12686073436983125,0.35041230507846005,0.7554922701383238,254,232,232,264,508,0,0,0,0,267
mixed,20264000069,Round Robin,Round Robin,1,0.0,0.05954100015514996,0.3787747311818102,0.1648616125150421,0.14843405381561536,0.37287980133012116,0.7539109506618532,168,181,172,187,364,0,0,0,0,195
mixed,20264000070,Round Robin,Round Robin,1,0.0,0.05899999996472616,0.25128283625229986,0.15631364562118127,0.14797344514325644,0.34238339535665663,0.7614562118126273,177,193,193,181,394,0,0,0,0,201
mixed,20264000071,Round Robin,Round Robin,1,0.0,0.05954100015514996,0.2899973077551649,0.19061302681992337,0.12834224598930483,0.3268174969825962,0.7734674329501916,132,122,122,133,259,0,0,0,0,137
mixed,20264000072,SJF,Round Robin,0,0.001030102343903494,0.08991699996840907,0.2950691435672564,0.134641638225256,0.13567174056915948,0.3990999339884961,0.7602389078498293,259,230,230,268,479,0,0,0,0,249
mixed,20264000073,SJF,Round Robin,0,0.003856434638272274,0.06891700013511581,0.2676954485015773,0.09568798449612405,0.09954441913439632,0.38226972571770984,0.7560562015503876,216,211,211,231,448,0,0,0,0,237
mixed,20264000074,Round Robin,Round Robin,1,0.0,0.06366699972204515,0.25945835543312745,0.17554151624548736,0.11937203791469195,0.333601753838295,0.7630866425992779,115,135,125,139,265,0,0,0,0,143
mixed,20264000075,Round Robin,Round Robin,1,0.0,0.06308399997578817,0.2921392735641296,0.20939490445859874,0.12707917498336663,0.35118671000311213,0.7914012738853503,126,127,118,139,264,0,0,0,0,146
mixed,20264000076,Round Robin,Round Robin,1,0.0,0.0607920001129969,0.39229122156872154,0.16979895104895107,0.14171974522292996,0.3429998227541754,0.7524038461538461,230,229,211,242,466,0,0,0,0,246
mixed,20264000077,Round Robin,Round Robin,1,0.0,0.16924999999901047,0.30666941775617906,0.14549980602612184,0.11311555338859092,0.3925287729845047,0.7665071770334928,167,167,165,175,355,0,0,0,0,185
mixed,20264000078,Round Robin,SJF,0,0.003042520426059764,0.07391700000880519,0.37077075493071737,0.13770746887966803,0.13466494845360827,0.37886597938144334,0.7598547717842323,215,198,198,234,413,0,0,0,0,212
mixed,20264000079,Round Robin,Round Robin,1,0.0,0.06833399993411149,0.3041332701740646,0.16044142614601017,0.11560247167868179,0.3674007604983892,0.7661290322580645,127,127,127,151,286,0,0,0,0,152
